ID,Start time,Completion time,What were the primary learning objectives of the lesson that you observed?,How did the instructor structure this session?,How did you engage with the instructor? With your peers?,What technology was utilized?,How did the instructor facilitate a supportive environment? What did they do to make it inclusive to all learners?,What specific things do you feel made the instructor effective?,The learning objectives for the lecture/learning activity were clearly stated.,I understood the lecture/learning activity well.,The instructor was prepared and interacted well with the class.,I felt comfortable asking questions.,What were the main themes of the lecture/learning activity?,What other observations/comments do you have to share?
75,11/20/25 14:00:43,11/20/25 14:05:52,"what it means to be a pathogenic organism and characteristics if viral, bacterial, protozoan, and fungal pathogens, how these are treated in clinic",Lectured based with a powerpoint.,Actively listening to instructor and discussed with classmate a few tines about certain things mentioned.,computer and projector,"Would check in with students, made sure everyone was understanding",she was speaking very well and would check in a few times,5,5,5,5,"We learned about pathogenic organism, what is bacteria, fungi, and other pathogens",Good presentation 
76,11/20/25 14:00:56,11/20/25 14:06:00,"1. What it means to be a pathogenic organism 
2. The character of viral, bacterial, protozoan, & fungal pathogens 
3. How some pathogens are treated in the clinic","Overall I noticed her starting with the overview of what micro organisms are and how to test/study them, then their structure, examples, and antibiotics. ",There was not really any interaction between instructor and peers. ,She used a pointer and the active board at the front. ,"She spoke clearly and loudly, and had plenty of visuals. ",She clearly knew what she was talking about and was not reading off the slides. ,5,3,3,3,What micro organisms are and what they do.,"It was a lot of information, an activity to break it up would have been beneficial. "
77,11/20/25 14:00:33,11/20/25 14:06:16,"The primary learning objectives are learning what it means to be a pathogenic organism, the characteristics, and how pathogens are treated. ","She structured the lesson firstly by using a timeline discussing history of microbiology and then experiments. Further she describes transmission, type, phylogeny, and goes further into the families of bacteria and cell structure.",Throughout the lecture there was very little engagement other than a small discussion to the person next to me about the slides.,Computer and projector screen was utilized.,She was very nice and included good examples to people who learn visually. She breaks down stuff into different slides explaining info better without overwhelming the audience.,"She knows what she’s talking about, well prepared and has a good speakers voice.",5,3,4,2,"What pathogens are, characteristics, and treatments. All about pathogens and bacteria",The lecturer speaks well but also speaks too fast so a pause here and there would help the audience have better understanding and retain info better. Also it would help to have maybe questions for some students to answer having more engagement. 
78,11/20/25 14:01:06,11/20/25 14:06:24,,she started off with the history of the topics and then went in to more specific details ,I didn’t really interact with anyone ,"Power point slide, and the qr code gor this",She had a lot of pictures ,"To be honest she wasnt very clear, so i was a little confused ",1,2,4,4,Types of Pathogens and describing them ,Slow down please 
79,11/20/25 14:00:28,11/20/25 14:06:33,"What are pathogens, the different types, the structure, and how viruses live",With slides and went through in order,She tried to relate as much back to us,Yes,,She was good at going through all the type of viruses and was super informative ,3,3,3,2,,She was going super super fast at the beginning and I was having a hard time keeping up but other then that it was a okay lecture 
80,11/20/25 14:00:35,11/20/25 14:06:45,I learned about pathogens and how they are identified,She would teach what was on the slides then give off examples,I followed along by watching the slides on my phone as she was talking through them and I’d find on the diagrams what she is identifying in the slides. I did not engage with peers since this lecture did not require me to. ,I don’t really understand this question but she used a prejector?,"I feel like cause the instructor often referenced past slides while teaching new ones, I could learn and not forget the past topics ",She joked a bit and talked more casually which felt better to listen to than someone just reading off the slides ,5,5,4,4,Pathogens,She had a lot of filler words like um and uh and she did not sound confident in some of the topics but when she spoke off the slides she seemed more comfortable 
81,11/20/25 14:01:16,11/20/25 14:06:57,"The primary learning objectives were bacteria and arches reproduction, gene transfers and antibiotics.",It was structured through PowerPoint slides .,I did engage with the professor. I asked my peers questions.,Technology was utilized in the form of PowerPoints and video links.,She facilitated a supportive environment by being open to questions and explaining information in a clear way,I liked the slides she shared I think they were helpful. I also feel like she makes it easy to focus on what she’s saying because she is passionate about it,5,3,4,5,"Bacteria, antibiotics, genes",I think she did well it was easy to focus and understand most of what she said.
82,11/20/25 14:00:36,11/20/25 14:06:59,"Mainly Cells, cell structure, cell behavior, and descriptions of the functions of different types of cells.",They went from slide to slide explaining the different types of cells and their functions while sharing scientific facts and data from cells.,"I was attentive with the instructor but there was little engagement with the peers, it was hard to focus with her.",The projector and a red dot Pointer.,"There was no inclusivity throughout the lecture, just talking from her end.","I didn’t find much effective, it was easy to follow the screen but not easy to follow her words.",2,1,1,1,"Cell structure, cell functions, and cell behavior","I feel like the talking could have been clearer, it was hard to follow. there wasn’t much differentiation between her tone of her words so they all blended together. There wasn’t room in between each statement for us to understand and comprehend, a little break for air in between would've been more effective. I also wasn’t able to immerse myself in the lecture because it wasn’t engaging. There was eye contact but not to the point where it was checking for us if we were following but just looking to see if we were still paying attention."
83,11/20/25 14:00:48,11/20/25 14:07:02,"1. What it means to be a Pathogenic Organism 
2. The characteristics of viral, bacterial, protozoan, and fungal pathogens 
3. How some pathogens are treated in the clinic ",Background on the history of pathogens and then broke down different type of pathogens individually and how it applies to the real world.,I followed along with the presentation along with my computer and while she was talking. I didn’t really engage with my peers during this lecture ,Microsoft presentation and a pointer to highlight things.,She actually asked at certain points if we understood and was open to questions which I liked.,I liked how she included a bit of history especially during the beginning of the presentation it balanced out the scientific information. I also like how she applied how the pathogens worked and how they interacted in the real world.,5,3,4,5,Pathogens,None
84,11/20/25 14:00:39,11/20/25 14:07:29,"Pathogens, Prokaryotic cells, Bacteria, Antibiotics, Fungi, Viruses ",Gave history and introduces the basic topic then gives science examples and real world examples ,I nodded and gave thumbs up when asked if we understood the topic,Slides and a laser pointer,Used a lot of visuals and good examples ,When she used scenarios that we as students could relate to such as taking antibiotics and media we would know.,4,4,5,5,How cells and bacteria make diseases and how we fight them on a cellular level,Says Uhh a lot and can be distracting when she is about to say a main point. They know the topic well. 
85,11/20/25 14:00:37,11/20/25 14:07:30,"The primary learning objective were what are pathogen organisms, the characteristics of pathogens, and how they are treated in the clinic.",The session was structured by using presentations as visual aid to help the class understand and follow along with her speaking.,I nodded when she said are you with me and had no interaction with peers.,A computer and projector ,The instructor maintained eye contact and made jokes which helped create a supportive environment. She made her learning inclusive to all learners by using visual which helped visual learners as well as auditory learners.,"Took time to explain, and made sure each picture was known why it was there.",5,4,3,2,"The main themes were what makes a pathogen, what are the characteristics of a pathogen, and how they are treated in a clinic.",Ask through the lesson if anyone has any questions.
86,11/20/25 14:01:01,11/20/25 14:07:40,"Pathogens cause diseases. They consist of bacteria, viruses, fungi, helminths, and protists. They have different characteristics that make them up.",She structured this sessions by providing the information about the subject in a PowerPoint presentation.,By following along with the presentation on my device.,She utilized a computer to present in the projector.,She spoke loudly for everyone to hear.,The instructor included images in her presentation and pop culture references.,4,2,5,3,Pathogens causing diseases.,She should speak more slower and improve in tone and rhythm of her speech. She did talk loudly and kept eye contact and good body language.
87,11/20/25 14:00:36,11/20/25 14:08:03,"What is a pathogen, different types, and how they are treated in clinics","She started with some history, moving to a review of some important topics then moving onto new information. ","Sh didn’t really ask any questions, she was speaking so fast one one really had the chance to ask any either ",She used only a power point,Like I said we didn’t really have the chance to engage with each other but I think if we would have there would be a better chance for a more supportive environment ,Her relation to real world experience made it easier to understand ,4,3,3,2,Pathogens ,I think she can slow down. It seemed like she was reciting a script instead of trying to get someone to understand her.
88,11/20/25 14:01:02,11/20/25 14:08:53,"Pathogens, germ theory, pasteurization, Robert Koch, Louis Pasteur, John Snow","Very quick, felt a bit too rehearsed, felt like she was answering questions rather than teaching a subject",No opportunities to engage ,Slide show ,Na,I don’t think she was effective. I guess the slides were fine ,1,1,1,1,Not even sure ,"I’m sure Dr. Nascimento is very smart and more than capable of becoming a great professor, but this lecture was terrible (worst I’ve ever attended). It seemed like she was speed running 

The pacing and lack of engagement really killed it for me. It made it near impossible to follow. As I stated earlier, the rapid pace and lack of engagement made it feel as though she was answering question N.A. for an expert rather than teaching a subject to a class.

However, overall these are understandable errors for a first time lecturer who may struggle with some social anxiety. But, it is my believe that having some form of social anxiety can be a positive as it allows you to empathize more with some students and eventually allow for better teaching. In conclusion, though I would bluntly state that was an awful lecture, I believe Dr. Nascimento possesses the necessary abilities and traits to become a great professor one day. I would just suggest she relaxes a bit, takes some breaths and pauses, asks the class more questions, and ultimately be more confident in her ability to teach. Just think of it as explaining a cool subject to some close friends rather than a job. I wish her the best of luck!"
89,11/20/25 14:00:40,11/20/25 14:09:13,Pathogenic. Antibiotics and anti fungal as work and how resistance can develop ,By slides ,Asked if everyone was understanding ,The computer with projector ,Kept everything positive ,She suggested something that we can do in our own time to help us better understand  ,4,4,4,4,Pathogenic ,N/a 
90,11/20/25 14:00:48,11/20/25 14:09:20,"History, origins of microbiology","Brief history of microbiology and exploring how individual scientists conducted their experiments
Dives into the structure and functions of specialized cells ",Passive listening throughout the lecture and making relevant connections to things that I already know.,Powerpoint slides,Included examples that students could relate to. Such as games and real life examples like Covid 19,strong and resonant voice,3,3,2,1,Microbiology,"Cecilia did a wonderful job for her first attempt at holding her first lecture in such an intimidatingly large auditorium. She would benefit from slowing down her speech and emphasizing more important topics. I found it difficult to follow her lecture.

There is apparent rushing and discomfort with the material. I hope Cecilia learns the value of PAUSES. Pausing is a powerful tool to allow listeners to process the content and give her a natural break to breathe and think about what she wants to say next. If Cecilia replaced Um's and Ah's with paused, I am confident she will improve her speaking abilities dramatically.

Some other aspects of speaking she should pay attention to are rhythm, phrasing, tonality, and tempo. All of these factors play a role in delivering an effective lecture. I have no doubt that Cecilia knows the information inside and out, the next challenge is to practice practice practice!! It was a pleasure getting to sit in on your very first lecture. Good luck!!"
91,11/20/25 14:00:36,11/20/25 14:09:27,"The primary learning of the lesson were the historical context of microbiology and its discoveries of germs connection between diseases, postulates of pathogen influencing cells, different types of transmission and prototypes. She mentioned families of bacteria, functions and structures of prokaryotic cells in bacteria and eukaryotic cells in protists.","Within the structure of this session, Dr.Cicilia started with historical context of microbiology. She then detailed the fundamental discoveries of scientists regarding diseases, empirical studies of pathogens, and recent research of increasing antibiotic resistance","I engaged with the instructor by providing my attention towards her slides. With my peers, I handed out papers at the beginning of class in my row","The technology that was utilized was computer, presentation software program, and light pen.","She fascilitated a supportive environment by including visuals, images, diagrams, and graphs to show the impact of pathogens, protists, and viruses. To make it inclusive to learners, she related her lesson to media examples",Specific things that made the instructor effective is not reading off of the slides and asked students for clarification.,4,4,4,3,"The main themes of the lecture were the causes and effects of pathogens on the body through bacteria, protists, and viruses",Some comments that I like to share was that she was loud and clear even though she was nervous. I liked that she included and recommended shows to relate to her presentation
92,11/20/25 14:01:47,11/20/25 14:11:26,"1) What it means to be a pathogenic organism.
2) How some pathogens are treated in the clinic.
3) The characteristics of viral, bacterial, and fungal pathogens.",The instructor introduced important people to the topic and their contributions to the field first. She then went through the lesson in different sections covering the biological make-up of pathogens plus how they are clinically treated. ,"I paid attention to the instructor, read her slides, and took notes as I followed along.",The instructor used a PowerPoint presentation and a laser pointer.,The instructor stated that anyone was welcome to speak up and ask questions or ask for the instructor to go slower if they felt the lecture was going too fast.,The instructor spoke loud and clearly and in an animated and engaging way.,5,4,4,3,"The biology of pathogens, the history of their discovery, and how they are treated.",Dr. Nascimento did great! 
93,11/20/25 14:00:42,11/20/25 14:12:03,How pathogens work and the 4 different types.,She created a slide show that began with what pathogens are and where they come from and ended with classes the different types and why they are important.,"Whenever she asked if we were good or understood what she was talking about, i responded yes.",Permethrin Board,She made sure we were understanding the slides throughout the presentation.,She specializes in the concept.,4,4,5,5,History of pathogens and the different types ,"She did great, but since she was nervous, for some parts of the lecture it was hard to understand her."
94,11/20/25 14:00:55,11/20/25 14:12:14,"There were lots of information relating to bacteria, protozoans, fungal
infections, viruses, and how pathogens can be preventable. ",She structured it well. Slides were very informative and each slide was related to the one before instead of jumping around and causing confusion. ,"I did not really engage with peers as there were not many peers near where I was sitting. I engaged I would say little with the instructor. She would ask if we have it with a thumbs up, and I would put my thumb up instigating “I got it”","The technology that was used was the projector, powerpoint, powerpoint clicker, and computer. ","They created a supportive environment by looking around, making eye contact with the audience, and using non-verbal communication to keep the audience engaged. ","I really liked how she used strong example with thing we might be familiar with like something from video games, anime, or how fungal infections might look and how to prevent them. ",5,4,4,3,"Bacteria, Viruses, Pathogens, and Fungal Infections. ",I think she did really well and was engaging but I do think there were some moments where she would speak a little fast and it would be tricky to catch what she was saying. 
95,11/20/25 14:01:01,11/20/25 14:12:28,"1. What it means to be a pathogenic organism.
2. The characteristics of a pathogen.
3. How some pathogens can be created.",The instructor gave her lecture by presenting a timeline of events regarding pathogens and its discovery. She also described four different pathogens and each of their functions. She included visual examples as well.,"I did not personally engage with the instructor nor my peers. However, the presentation was done well enough that we did not have any questions to ask.","The instructor used a slideshow to present the lecture visually. She also brought a laser pointer, which helped her point out specific details within a cell.","To facilitate a supportive environment, the instructor made sure to include visual examples of cells and pathogens. This helps students understand structure, organisms, and scientific processes.",Her use of personal or real world examples help the instructor's lecture by serving as an easier way to remember the material.,5,5,4,4,What pathogens are and how each of them operate.,I really liked the inclusion of modern media within the lecture. It helped in understanding the lecture.
96,11/20/25 14:01:02,11/20/25 14:16:37,"1) What it means to be a pathogen organism 
2) The Characteristics of viral, bacteria, protozoan, fungal pathogens 
3)  how some pathogens are treated in the clinic","They began by taking us through the evolution/ timeline of microbiology and its history. Then they explaining and described the characteristic of postulates, pathogens, fungal pathogens, virus. She mainly used visual examples to illustrate how each pathogen, virus, and bacteria work. ",By listening attentively and taking notes of her lecture.,A slideshow presentation.,She made sure to take pauses and asks if we understood the material before moving forward to the next topic.,She related the material to popular media that some students are familiar with like for example she mentioned an anime called “Cell Work.”,4,4,4,3,Fungal infection and anti-fungal work and its development. ,The only thing I would have liked was if she could’ve spoke a little more clearly.
97,11/20/25 14:00:30,11/20/25 14:19:02,I learned about pathogens and their characteristics as well as viruses,She made slides that wasn’t filled with too much information(which is good!),I had my full attention and the slides and the instructor’s explanations,A computer was used for the slides,"Maintained a positive attitude, made us laugh, and explained it in a way we could understand ",The instructors mantained a positive attitude ,3,3,5,3,Pathogens and viruses,"Even tho the instructions spoke fast at first due to nervousness, she was professional, kept a positive attitude and taught a good lecture! :)"
98,11/20/25 14:00:46,11/20/25 15:08:12,"-how microorganisms get transferred to a healthy body
-different types of cell walls
-how bacteria reproduces","By talking about microbiology timelines, moving into types of pathogens, and antibiotics. Lastly she talked about different protists and viruses.",I engaged by listening carefully and writing down important notes.,Powerpoint slides and a pointer.,"She checked up on the class and made sure we weren’t lost, and told us to ask questions if needed.",Her deep knowledge of the topic made her teaching more effective.,4,4,5,5,-bacteria and how they spread. Protists types and how they function.,Cilicia was a really engaging and fun instructor but you could tell she was nervous. Overall great job!!
99,11/20/25 15:11:23,11/20/25 15:12:23,,,,,,,,,,4,,I think not adding so many images could help emphasize the point better. Overwhelming the audience with multiple images might confuse and make things less concise.  
